,Match_Id,Batsman,batting_team,bowling_team,balls_faced,sixes,fours,runs,strike_rate,dismissal_type
31,142,Yuvraj Singh,Kings XI Punjab,Kolkata Knight Riders,16,0,1,14,87.5,caught
32,145,Yuvraj Singh,Kings XI Punjab,Rajasthan Royals,37,3,3,48,129.73,caught
33,149,Yuvraj Singh,Kings XI Punjab,Chennai Super Kings,36,2,5,58,161.11,Not Out
34,151,Yuvraj Singh,Kings XI Punjab,Deccan Chargers,13,1,1,18,138.46,caught
35,157,Yuvraj Singh,Kings XI Punjab,Mumbai Indians,18,0,2,12,66.67,caught
36,161,Yuvraj Singh,Kings XI Punjab,Delhi Capitals,31,0,1,18,58.06,caught
37,164,Yuvraj Singh,Kings XI Punjab,Deccan Chargers,18,1,2,20,111.11,bowled
38,169,Yuvraj Singh,Kings XI Punjab,Chennai Super Kings,19,0,0,6,31.58,bowled
39,177,Yuvraj Singh,Kings XI Punjab,Delhi Capitals,5,0,1,4,80.0,caught
40,181,Yuvraj Singh,Kings XI Punjab,Royal Challengers Bangalore,6,0,1,9,150.0,caught
41,186,Yuvraj Singh,Kings XI Punjab,Deccan Chargers,6,0,1,4,66.67,caught
42,190,Yuvraj Singh,Kings XI Punjab,Chennai Super Kings,30,2,5,47,156.67,caught
43,193,Yuvraj Singh,Kings XI Punjab,Rajasthan Royals,13,1,0,15,115.38,caught
44,196,Yuvraj Singh,Kings XI Punjab,Kolkata Knight Riders,16,1,3,24,150.0,caught
45,201,Yuvraj Singh,Kings XI Punjab,Mumbai Indians,3,0,0,2,66.67,caught
46,205,Yuvraj Singh,Kings XI Punjab,Royal Challengers Bangalore,20,2,3,36,180.0,caught
47,208,Yuvraj Singh,Kings XI Punjab,Kolkata Knight Riders,16,3,2,33,206.25,Not Out
48,212,Yuvraj Singh,Kings XI Punjab,Rajasthan Royals,16,3,1,28,175.0,bowled
49,215,Yuvraj Singh,Kings XI Punjab,Mumbai Indians,21,0,1,15,71.43,caught
50,218,Yuvraj Singh,Kings XI Punjab,Delhi Capitals,25,1,2,21,84.0,Not Out
